ID,networkID,sectionID,sectionName,locFrom,locTo,lane,measeDate,gradients,curveture,crossfall,RAMMID,jv_addedBy_jv,jv_addedDate_jv,jv_addTag_jv
245627,3,3431,016-0022-W,0,10,L1,00:00.0,3,-35,2.8,160965919,Philip van der Wel,00:00.0,PvdW_221031
245628,3,3431,016-0022-W,10,20,L1,00:00.0,2.9,-35,2.8,160965920,Philip van der Wel,00:00.0,PvdW_221031
245629,3,3431,016-0022-W,20,30,L1,00:00.0,2.5,-34,2.9,160965921,Philip van der Wel,00:00.0,PvdW_221031
245630,3,3431,016-0022-W,30,40,L1,00:00.0,1.7,-32,2.9,160965922,Philip van der Wel,00:00.0,PvdW_221031
245631,3,3431,016-0022-W,40,50,L1,00:00.0,0.8,-31,2.7,160965923,Philip van der Wel,00:00.0,PvdW_221031
245632,3,3431,016-0022-W,50,60,L1,00:00.0,0,-32,2.5,160965924,Philip van der Wel,00:00.0,PvdW_221031
245633,3,3431,016-0022-W,60,70,L1,00:00.0,-0.9,-33,2.5,160965925,Philip van der Wel,00:00.0,PvdW_221031
245634,3,3431,016-0022-W,70,80,L1,00:00.0,-1.7,-33,2.5,160965926,Philip van der Wel,00:00.0,PvdW_221031
245635,3,3431,016-0022-W,80,90,L1,00:00.0,-2.3,-33,2.5,160965927,Philip van der Wel,00:00.0,PvdW_221031
245636,3,3431,016-0022-W,90,100,L1,00:00.0,-2.6,-33,2.4,160965928,Philip van der Wel,00:00.0,PvdW_221031
245637,3,3431,016-0022-W,100,110,L1,00:00.0,-2.7,-32,2.4,160965929,Philip van der Wel,00:00.0,PvdW_221031
245638,3,3431,016-0022-W,110,120,L1,00:00.0,-2.7,-32,2.6,160965930,Philip van der Wel,00:00.0,PvdW_221031
245639,3,3431,016-0022-W,120,130,L1,00:00.0,-2.4,-33,2.8,160965931,Philip van der Wel,00:00.0,PvdW_221031
245640,3,3431,016-0022-W,130,140,L1,00:00.0,-2.1,-33,2.7,160965932,Philip van der Wel,00:00.0,PvdW_221031
245641,3,3431,016-0022-W,140,150,L1,00:00.0,-1.5,-33,2.6,160965933,Philip van der Wel,00:00.0,PvdW_221031
245642,3,3431,016-0022-W,150,160,L1,00:00.0,-0.8,-33,2.7,160965934,Philip van der Wel,00:00.0,PvdW_221031
245643,3,3431,016-0022-W,160,170,L1,00:00.0,-0.2,-32,2.8,160965935,Philip van der Wel,00:00.0,PvdW_221031
245644,3,3431,016-0022-W,170,180,L1,00:00.0,0.5,-33,2.8,160965936,Philip van der Wel,00:00.0,PvdW_221031
245645,3,3431,016-0022-W,180,190,L1,00:00.0,1.1,-33,2.9,160965937,Philip van der Wel,00:00.0,PvdW_221031
245646,3,3431,016-0022-W,190,200,L1,00:00.0,1.7,-33,3,160965938,Philip van der Wel,00:00.0,PvdW_221031
245647,3,3431,016-0022-W,200,210,L1,00:00.0,2.3,-33,3.1,160965939,Philip van der Wel,00:00.0,PvdW_221031
